sport,category,rank,official_dog,official_score,computed_dog,computed_score,status
Rally,Intermediate,2,Sir Titan Atlas King,91.33,Sir Titan Atlas King RA CGC,91.33,✅ match
Rally,Intermediate,3,Kstar Goldmtn H Lee's Mockingbird,88.67,CH Kstar Goldmtn H Lee's Mockingbird CD BN RI CGCA TKI,88.67,✅ match
Rally,Intermediate,4,Kehre's Just A Santa Baby,88,CH Kehre's Just A Santa Baby RI FDC BCAT CGCA TKI,88.0,✅ match
Rally,Intermediate,5,Red Creek Raven,86,Red Creek Raven RI,86.0,✅ match
Rally,Intermediate,6,Rainspring Moondancer,84.33,Rainspring Moondancer RI FDC NA NAJ OF CAA FCAT ACT1 ACT1J SWA SCM SIE SEE SHDE RATCH CZ8P DSX2 AS HDN NSD CGCA CGCU TKE ATT VHMA VSWE FITG,84.33,✅ match
Rally,Intermediate,7,Lady Freckles Del Maru,82.67,,,"△ in official, not in raw (snapshot/legs)"
Rally,Intermediate,8,Thor-Adore,79.67,,,"△ in official, not in raw (snapshot/legs)"
Rally,High Combined,1,Polesitter Here You Come Again,199.33,,,▢ combined cat (not computed yet)
Rally,High Combined,2,Dream's Rainbow In The Dark,195.67,,,▢ combined cat (not computed yet)
Rally,High Combined,3,Emerald Isle Ridgewyn Dot With Dash,192,,,▢ combined cat (not computed yet)
Rally,High Combined,4,Downs Lake Jean Louise,177.33,,,▢ combined cat (not computed yet)
Rally,High Combined,5,Silver Oak Angus From Heather Isle,176.67,,,▢ combined cat (not computed yet)
Rally,High Triple,1,Polesitter Here You Come Again,299,,,▢ combined cat (not computed yet)
Rally,High Triple,2,Dream's Rainbow In The Dark,290,,,▢ combined cat (not computed yet)
Rally,High Triple,3,Emerald Isle Ridgewyn Dot With Dash,281.33,,,▢ combined cat (not computed yet)
Rally,High Triple,4,Downs Lake Jean Louise,265.67,,,▢ combined cat (not computed yet)
Rally,High Triple,5,Silver Oak Angus From Heather Isle,261.67,,,▢ combined cat (not computed yet)
Agility,Excellent A,1,PACH4 Lina Of Tx-,4.39,Vinewood Likes It Fiery Hot AX AXJ OF DCAT SIN DJA TKN,100.0,↕ ordering (4.39 vs 100.0)
Agility,Excellent A,2,Vinewood Likes It Fiery Hot AX AXJ OF DCAT SIN DJA TKN,100.00,,,"△ in official, not in raw (snapshot/legs)"
Agility,ESS of the Year,1,,,GCH CH MACH4 Vinewood's The Fire Inside CDX BN RN JH MXC MJB2 PJD MFG TQX T2B4,5.59,"＋ computed, missing from our PDF parse"
Agility,ESS of the Year,2,,,MACH8 Dream A Little Yesterday And Today MXB3 MJB3 MFG TQX T2B3 TKN FITB FTN,5.08,"＋ computed, missing from our PDF parse"
Agility,ESS of the Year,3,,,AGCH MACH20 Merfey's Meadow Of Ferns CD RA MXG5 PDS MJC5 PJS MFG TQX T2B5 BCAT RATO CGC,5.08,"＋ computed, missing from our PDF parse"
Agility,Preferred ESS of the Year,1,,,PACH4 Lina Of Tx-Tw OA MXP11 MXPC PADP MJP12 MJPB2 PJDP PAX4 MFPS TQXP T2BP4 CGCA TKA,4.39,"＋ computed, missing from our PDF parse"
Agility,Novice,1,,,Pine Shadows Agent At Skyfall RN NA NJP NF,88.33,"＋ computed, missing from our PDF parse"
